WKT,fid,Stage,Alternative,Mode,Start,End,EuroVelo,Distance,Gain,Duration,Acomodation,Travel,Notes
"MULTILINESTRING Z ((-9.13382081883549 38.7693303341737 0,-3.57067062688257 40.476213100941 0,-3.57067062688257 40.476213100941 0))",1,"0",,Air,"Lisbon, PT","Madrid, ES",,514,,1.3,,70,
"MULTILINESTRING Z ((-3.68849335430397 40.4047823230352 0,2.13981316432917 41.3789307485625 0))",2,"0",,Train,"Madrid, ES","Barcelona, ES",,503,,3,,20,
"MULTILINESTRING Z ((2.197581455 41.387057572 12.3,2.200301131 41.389097392 8.4,2.200194933 41.389266035 8.6,2.200375814 41.389487318 9.7,2.200636324 41.39002443 12.6,2.200978138 41.390353084 10.6,2.201412907 41.390620132 6.2,2.201932501 41.390858765 3.3,2.203603853 41.391487659 5.1,2.204025881 41.39173065 7.7,2.204419328 41.392024184 7.3,2.204770027 41.392327861 6.9,2.205011006 41.392620054 6.2,2.205363633 41.392948206 4.5,2.205584496 41.393396973 5.8,2.205818603 41.393738703 6,2.206239207 41.394235833 5.1,2.209024765 41.396411776 3.5,2.209306061 41.396714446 4.1,2.20961988 41.396896836 4.4,2.210268136 41.39717872 3.5,2.210707599 41.397502932 3.3,2.212637113 41.400127306 7.6,2.213074565 41.400562159 7.2,2.213474382 41.400662825 6.9,2.213925244 41.400925011 7,2.214164296 41.401192645 7,2.215095358 41.402489996 6.5,2.215485871 41.402881934 7.1,2.219431484 41.405807805 4.2,2.219247753 41.406094718 7.5,2.222022666 41.408143339 9.7,2.222333215 41.40852044 8.6,2.221981259 41.408812969 9.9,2.222191812 41.409639089 9.1,2.222094247 41.410253986 8.5,2.222225089 41.410596219 8.1,2.222523401 41.411057894 8,2.223342564 41.412110326 8.6,2.224159967 41.412937536 7.1,2.224764721 41.413622756 8,2.22492733 41.41375058 8,2.225552956 41.414086695 7.3,2.22607146 41.414308899 4.7,2.226424506 41.414571336 4.6,2.227615155 41.41591001 14.2,2.227292368 41.416363052 11.2,2.227598643 41.416381911 11.6,2.227115007 41.417067551 8.6,2.226044638 41.418460539 8.5,2.227792768 41.420437495 7.2,2.230344554 41.423438803 9.1,2.234286899 41.428290416 7.4,2.234370969 41.428529552 7.3,2.23622689 41.43074162 8.4,2.237208998 41.431965881 9.3,2.237632954 41.432397633 8.6,2.237748625 41.432357651 7.5,2.239972344 41.434997615 8.3,2.241530204 41.436900726 5.6,2.242143089 41.437721985 6.7,2.243548818 41.437460302 2.7,2.243779907 41.438085006 5,2.244889336 41.439792232 7.5,2.24663185 41.441837165 6.8,2.248383835 41.444025428 8.3,2.249283548 41.445087667 6.7,2.249282375 41.445550348 7.4,2.253124304 41.44924333 10.1,2.254595496 41.450564234 9.4,2.257594373 41.453181316 8.9,2.263422143 41.457287275 7.5,2.26637031 41.459233385 5.7,2.267964548 41.460186743 5.9,2.270000679 41.461229368 6.6,2.271256875 41.461912158 6.4,2.272042595 41.462533173 7.9,2.272246778 41.462603497 6.9,2.272798391 41.462522863 4.6,2.273141881 41.462520684 3.3,2.273262832 41.462592601 2,2.273311196 41.462685472 3.2,2.27356961 41.462753869 2.2,2.273726352 41.462850763 3.3,2.273859456 41.46346742 6.5,2.27408736 41.463624748 5.7,2.275770027 41.464489258 9.5,2.277237363 41.46471624 4.2,2.277852511 41.465052522 6.4,2.278359365 41.465379835 12.9,2.279699463 41.46560162 11.6,2.279725866 41.466020799 15,2.285021888 41.467848138 9.6,2.289560353 41.469835739 6.8,2.294756882 41.471773132 7.2,2.298760163 41.47333862 7.7,2.301479252 41.474011351 5.8,2.308483254 41.476330372 7.3,2.318219338 41.478490054 9.4,2.331514126 41.481631256 5.8,2.337563261 41.482940844 5.1,2.34038637 41.483495726 8.3,2.343113087 41.484190921 2.7,2.34831389 41.485713745 6.4,2.350254385 41.486138456 7.4,2.352485396 41.486816133 7.1,2.353119822 41.486934318 6.2,2.354453551 41.487306894 6.8,2.355267685 41.487555417 6,2.355337758 41.487635381 6,2.355501037 41.487701598 6.4,2.356551373 41.48806378 5.5,2.360871239 41.489307906 5.2,2.365183141 41.490661415 4.6,2.36542521 41.490671054 4.6,2.368618716 41.491776711 4.7,2.36875182 41.491784087 4.2,2.369674416 41.492003023 3.5,2.369743986 41.492051889 3.2,2.369741555 41.492110143 3.2,2.369385576 41.492671479 6.4,2.369242916 41.492721016 6.4,2.369142417 41.492715904 6.7,2.368876375 41.492624206 6.9,2.368800854 41.49245531 6.3,2.368910071 41.49227292 5.6,2.36890546 41.492197567 5.6,2.368873022 41.492125315 5.6,2.368785935 41.492083573 4.8,2.368690046 41.492079885 4.8,2.368595917 41.492115843 5.3,2.368485276 41.492276021 6,2.368219569 41.492403007 6.7,2.367977668 41.492596545 7,2.369884718 41.493210184 9.1,2.368892133 41.494729572 10.2,2.368164668 41.495750152 10.2,2.36857689 41.495739424 10.2,2.370023942 41.49594763 9.4,2.371037984 41.496167571 10.4,2.371379631 41.496270669 10.4,2.372285463 41.496396397 10.6,2.373016952 41.496689345 11.8,2.374867676 41.497302816 12.3,2.375247544 41.497395017 12.8,2.375973584 41.497456121 12.1,2.376097469 41.49736568 11.3,2.376320427 41.496925295 9.6,2.376438109 41.496880368 9.6,2.379162647 41.497915114 10.9,2.380620427 41.498519114 13.6,2.381902104 41.497229475 8.1,2.38198014 41.497162838 7.5,2.382159429 41.497154037 6.4,2.384142587 41.498191046 7.6,2.384402761 41.497921568 4.4,2.386753131 41.498984813 4.6,2.38914717 41.500023163 6.1,2.395094046 41.502945178 4.8,2.396716448 41.50383257 5.9,2.396952817 41.504019068 5.9,2.397183571 41.504146724 6.4,2.397631919 41.504275302 6.8,2.39770174 41.504328947 6.8,2.397798384 41.504515779 7.5,2.399412822 41.505383893 6.9,2.400201475 41.505843808 6,2.400340782 41.505882029 6.6,2.400833555 41.506145054 5.5,2.400997002 41.506264412 6.1,2.401264971 41.506336496 5.3,2.402812103 41.507084665 4.1,2.403068589 41.507169657 4.1,2.403095243 41.507262445 5.3,2.40292903 41.507444835 5.3,2.40278176 41.507549609 6.2,2.402477162 41.507968201 7.5,2.402608171 41.507881616 7.5,2.403598577 41.508551666 7.3,2.403642833 41.508667587 7.3,2.403876437 41.508638837 6.6,2.408207031 41.511647438 7.6,2.412564363 41.515064153 7.9,2.412781706 41.515308653 8.6,2.412879355 41.515508058 9,2.412962001 41.515555751 9,2.413216475 41.515618867 9,2.413861128 41.516101078 8.6,2.414872572 41.517081426 7.3,2.415247327 41.517612838 7.6,2.415643036 41.518078201 8.5,2.415934475 41.518331838 8.9,2.416249048 41.518529902 9.1,2.419549003 41.520165631 5.3,2.420522897 41.520783712 6,2.421847237 41.521691053 9.6,2.422124175 41.521836395 9.6,2.427022895 41.524176455 11.2,2.42705483 41.524315511 11.3,2.427412402 41.52451961 11.1,2.427508542 41.524961588 11.8,2.427482558 41.525127717 12.5,2.427693363 41.525235257 12.6,2.427853961 41.525167364 12,2.428099718 41.525186977 11.3,2.428590981 41.525103913 9.9,2.428769181 41.525140793 9.5,2.428862806 41.525126795 9.5,2.429084508 41.524896712 8.5,2.429363625 41.525053035 8.5,2.430114225 41.52556257 6.9,2.430337016 41.525555613 6.9,2.430386636 41.525511106 6.5,2.430500211 41.525576317 6.5,2.430438101 41.525643288 6.4,2.430452351 41.525821571 6.4,2.431584494 41.526701755 4.1,2.431856235 41.526734696 4,2.431951286 41.526680381 4,2.432059245 41.526759255 3.8,2.432019431 41.526852545 4.7,2.432070058 41.526943908 4.7,2.432087157 41.52709319 5.6,2.433122825 41.527935739 4.7,2.433239501 41.527919394 4.7,2.433330109 41.527852506 4.7,2.433435218 41.527932134 3.8,2.433367074 41.527997429 3.8,2.433382496 41.528154003 3.8,2.434259579 41.528896137 4.3,2.434350355 41.528933688 4.3,2.434444986 41.528923211 4.7,2.434551017 41.528858419 4.7,2.434814041 41.528989931 5.5,2.436649259 41.527320842 5.1,2.437174972 41.527224534 3.5,2.437396506 41.527300726 3.7,2.439189143 41.52837956 4.3,2.440606272 41.52911985 5,2.441473715 41.529508519 4.2,2.441594331 41.529588063 4.2,2.442120966 41.530045296 4.2,2.446379308 41.533261516 6,2.446702011 41.533542897 6.2,2.447844967 41.534676046 7.2,2.449426884 41.535995861 7.6,2.449653614 41.536158134 7.3,2.450002385 41.536330801 7.5,2.453850517 41.538947883 12.1,2.455351129 41.539889338 16.6,2.456041463 41.54026862 16.2,2.456689384 41.540546312 12.6,2.456788626 41.540625772 11,2.45683657 41.540714537 11,2.456678823 41.540967251 13.3,2.462795852 41.543671505 9.4,2.468017442 41.546145004 9.8,2.46876955 41.546474497 9.4,2.469579577 41.546781861 8.3,2.47514382 41.548282641 7.3,2.4758795 41.548496296 8,2.476262469 41.548655803 8.7,2.476830594 41.548731073 7.9,2.482988276 41.550263955 8.8,2.4871027 41.551439685 6.9,2.490860391 41.55246915 9.2,2.491454585 41.552508629 9.1,2.492078952 41.552627652 9,2.493454088 41.553076503 12.9,2.494223714 41.553378838 12.8,2.495245384 41.553873622 15,2.49557538 41.554098844 15,2.496146606 41.554639141 12.4,2.496710708 41.555108192 12.6,2.497289311 41.555412791 11.5,2.498027673 41.555734153 11.5,2.498104284 41.555677575 10.3,2.497997163 41.555841777 12.4,2.498866366 41.556198594 11.6,2.49887215 41.556239833 11.6,2.49795299 41.557226132 21,2.497915104 41.557336605 21.2,2.49794092 41.557404331 21.2,2.498053238 41.557507931 21.2,2.498527905 41.557703313 20.6,2.498661177 41.557809931 19.8,2.49886997 41.558093156 19.1,2.499037692 41.558197594 19.6,2.499835901 41.557569371 15.7,2.499958444 41.557657548 15.1,2.501150602 41.556735874 7.8,2.501354953 41.556705867 7,2.502070097 41.557060086 5.4,2.502419204 41.557128985 5.4,2.504099021 41.558029034 4.5,2.504244363 41.558290214 4,2.506305976 41.559401906 7,2.507237289 41.559867186 4.7,2.50763149 41.560128701 7.9,2.508358704 41.560521309 8.9,2.509613978 41.561147018 6.8,2.509842636 41.561214325 6.8,2.510224683 41.561234022 5.7,2.510734973 41.56116219 5.1,2.51427507 41.562458283 11.5,2.515718015 41.563103271 10.4,2.522052974 41.56620776 10.4,2.526988573 41.568084636 8.2,2.527230307 41.56832637 8.5,2.53213062 41.570195283 13.4,2.533316072 41.570770617 11.8,2.533351779 41.570840438 11.6,2.533296207 41.570981254 13.5,2.533306098 41.571065408 15.1,2.535385229 41.57186655 12.3,2.535890993 41.572027064 13.2,2.535934411 41.572073835 13.2,2.535866098 41.572302829 17,2.535919994 41.572437274 22.4,2.536229873 41.572590998 20.9,2.536309585 41.572737263 26.1,2.536508152 41.572806078 26.1,2.536812248 41.572851089 31.8,2.537652366 41.572751931 17.9,2.537890328 41.572695269 17.9,2.538282434 41.5727868 14.4,2.538919877 41.573158788 16.5,2.53929765 41.573415945 13.7,2.539631752 41.573735212 15.1,2.539933166 41.573885751 14.1,2.540787701 41.574114996 11.2,2.540906556 41.573968732 8.8,2.541086096 41.573964457 8.8,2.541348366 41.57410762 9.7,2.541769389 41.574278275 9.1,2.541875336 41.574358993 9.1,2.542286301 41.574511879 8,2.542418987 41.574516154 8,2.544716801 41.575418969 6.7,2.545183506 41.575579817 7.1,2.546062516 41.575766901 6.9,2.546778666 41.57608181 12,2.547037667 41.576103686 10.7,2.548377095 41.576665358 8.7,2.550878422 41.577944688 6.6,2.551239515 41.578091371 7,2.551499354 41.578152307 6.2,2.551494325 41.578215507 6.2,2.551623238 41.578432598 7.8,2.553373547 41.579061157 7.5,2.554418603 41.579392578 11.5,2.55715454 41.579647304 15.3,2.557434663 41.579555019 14.4,2.557563158 41.579419232 10.8,2.557735574 41.57931823 10.4,2.557977559 41.579346477 9.9,2.558117118 41.579530711 10.9,2.558438145 41.579785354 11.5,2.558973832 41.579910831 12,2.559617562 41.58000211 11.1,2.560842661 41.580108224 13.6,2.561643217 41.580158348 13.1,2.562081674 41.579937317 10,2.562785754 41.580109817 14.9,2.56329244 41.579904963 12.9,2.563440716 41.580104704 16.1,2.563900715 41.580127 15.6,2.564048739 41.580191121 14.8,2.565399315 41.581036939 9.4,2.569269408 41.582714745 7.7,2.570736073 41.583216318 8.2,2.571466472 41.583328887 6.9,2.571726562 41.583423267 5.7,2.572105508 41.583823587 8.1,2.573921699 41.584266487 8.8,2.574425116 41.584304876 7.9,2.574683614 41.584380983 8.1,2.576431073 41.584721624 12.1,2.576723937 41.584721875 12,2.577033984 41.584678373 8.6,2.577494988 41.584770658 11.3,2.577676289 41.584903595 10.6,2.578701228 41.585400642 14.5,2.579782829 41.585844631 12.6,2.581208507 41.58629365 9.7,2.58158125 41.586471346 8.5,2.582809618 41.586881137 6.9,2.584991511 41.587499722 6.9,2.587000234 41.588228109 8.5,2.587065361 41.588480069 10.9,2.58693058 41.588626417 15,2.586969472 41.588706884 13.4,2.588726487 41.58955069 11.1,2.590654409 41.590258793 9.9,2.591810608 41.590614102 9.2,2.593612969 41.591111568 7.7,2.596414201 41.591715316 12.2,2.598739509 41.592451415 19.4,2.599611143 41.592826086 20.4,2.601880459 41.593894108 14.6,2.602763912 41.594176327 13.9,2.603549464 41.594386461 12.9,2.606062442 41.594890214 18.8,2.607465656 41.595131109 17.2,2.608629148 41.595461524 18.3,2.609531125 41.595810211 15.9,2.610688414 41.596324273 12.2,2.612815071 41.597332365 16.4,2.613609089 41.597830334 17,2.61472011 41.598656203 17.6,2.614691528 41.598705153 19.3,2.615076257 41.599029533 17.5,2.615248254 41.599209324 15.7,2.615378844 41.599421554 15.9,2.615391165 41.599733864 15.2,2.615265101 41.60053509 12.5,2.615349339 41.600532827 12.5,2.615354704 41.600467951 12.5,2.615443803 41.600444146 12.5,2.615835406 41.600545316 11.1,2.616225751 41.600573479 10.8,2.617439786 41.600549758 11.4,2.617976815 41.600236862 11.8,2.61811344 41.600174584 10.7,2.618208406 41.600172824 10.7,2.618274372 41.600209788 11.4,2.618534882 41.60051665 18.2,2.618608391 41.600649922 21,2.619704911 41.599971659 15,2.620158456 41.59973839 10.7,2.620309247 41.599686506 10.7,2.620486524 41.599685249 9.5,2.621788569 41.600251111 10.5,2.622186961 41.60045454 11.8,2.622362562 41.600605163 9.8,2.62293186 41.601236655 13.6,2.622853154 41.601354589 16,2.622887604 41.601411586 16,2.624414619 41.60206068 18.2,2.625015099 41.602374247 22.2,2.625138229 41.602507603 23.4,2.625209643 41.602429903 22.2,2.625258174 41.60212673 22.3,2.625362193 41.601941825 19.9,2.625711132 41.601701935 18.1,2.626116564 41.601682154 18.6,2.626586622 41.601794303 16.1,2.627708036 41.602154725 15,2.627869388 41.602304761 18.2,2.627953291 41.602509028 18.9,2.627953207 41.602635344 18.9,2.628048593 41.602706003 22.5,2.62866877 41.602939858 20.3,2.628912935 41.603062485 20.6,2.629306633 41.603336574 17,2.630473981 41.603937053 13.9,2.630999023 41.604117851 15.1,2.631461872 41.604209549 12.8,2.634073254 41.604565025 20.6,2.635061145 41.604759066 21.5,2.635231633 41.604768454 19.6,2.636862081 41.605208839 18,2.639425769 41.605838069 18.3,2.639484443 41.605825831 18.3,2.639551163 41.605759782 19.1,2.639718885 41.605535231 15.7,2.639856348 41.605470941 12.4,2.640120881 41.605519221 15.2,2.640327495 41.605627683 14.4,2.640628405 41.605849384 17.4,2.64077601 41.606116348 27.2,2.640979523 41.606303013 31.1,2.641602131 41.606573748 33.4,2.641841937 41.606638121 31.1,2.642297326 41.606693526 34.9,2.642581053 41.606617753 23.9,2.642658418 41.606393286 17.7,2.642757827 41.606369398 16.1,2.642956479 41.606448858 16.1,2.643060246 41.606571066 19.4,2.643554024 41.606895278 23.3,2.644435968 41.60726886 17.3,2.644875934 41.607377992 18.3,2.646052251 41.607523921 13.5,2.646289039 41.607576643 11,2.646507891 41.607684099 8.3,2.646751134 41.607868082 13,2.646941487 41.60810814 17.3,2.646993706 41.608245687 17.3,2.647220772 41.60936509 25.4,2.647215072 41.609706317 26.9,2.64711977 41.610232114 27.7,2.647183472 41.610368068 28.4,2.647348596 41.610519026 26.8,2.647347841 41.610773836 28.7,2.647378435 41.61083712 28.7,2.647465775 41.610892859 28.7,2.647913033 41.611070137 25.5,2.648168597 41.61110752 23.2,2.647976819 41.610964525 25.5,2.648160551 41.610999058 23.2,2.647887552 41.610427747 20.3,2.64837102 41.60964186 12.1,2.648513261 41.609599867 10.6,2.649540044 41.610003707 9.4,2.650662381 41.61032113 9.1,2.653924953 41.611125122 10.1,2.654682258 41.61139351 10.2,2.654797845 41.611386218 10.2,2.655039579 41.611436342 9.4,2.655194057 41.611145741 7.1,2.655264214 41.611083296 5.5,2.655434953 41.611098803 4.6,2.659044368 41.612027182 7.3,2.65928518 41.612082084 7.6,2.659878535 41.612130196 8.8,2.66074799 41.612362123 9.8,2.661945429 41.612765041 8.6,2.662675576 41.612952125 8.2,2.662666859 41.613019432 8.2,2.662903816 41.613204421 8.8,2.663653661 41.613433917 7.9,2.664546333 41.613760644 8,2.668149211 41.614953305 9.2,2.668263875 41.614927405 7.6,2.668431345 41.614626913 4.7,2.668620273 41.614608976 4.1,2.672278974 41.615786214 5.2,2.673239624 41.616055106 4.2,2.673286982 41.616134315 4.2,2.673209701 41.616429861 6,2.673283042 41.616505046 6,2.678226857 41.617703826 5.6,2.678522486 41.617765517 5.6,2.6786457 41.617765182 4.4,2.678768495 41.617683626 4.1,2.680529114 41.618131974 2.2,2.680716701 41.618143206 2.2,2.682993812 41.618764807 3.8,2.684201058 41.619173844 5,2.6843319 41.619309044 3.9,2.684560809 41.619417674 4,2.685138071 41.619595873 3.3,2.685615337 41.619588581 2.5,2.686766339 41.619936095 3.4,2.688070815 41.620382682 4.8,2.689515939 41.620748888 4,2.689556591 41.620848381 5.1,2.689784411 41.620902025 4.5,2.689874349 41.620895403 4.5,2.69097615 41.621180723 2.9,2.691729935 41.621472078 5.1,2.691840911 41.621465708 4.9,2.694015428 41.622095021 3.7,2.694163788 41.622101559 3.7,2.69513106 41.622385538 3.7,2.695171963 41.622468854 4.7,2.696660003 41.622987946 3.8,2.696704259 41.623267482 5.5,2.696814733 41.623335459 5.5,2.698973995 41.624317567 5.2,2.700157771 41.624780835 2.1,2.701768354 41.62546002 0.7,2.702238075 41.62556647 0.3,2.703573396 41.626085394 1.7,2.705227733 41.626852925 2.1,2.707178872 41.627542001 3.1,2.70871385 41.627955397 2.2,2.713489858 41.62920891 2.4,2.714091176 41.6292157 2,2.714861222 41.629468749 3.7,2.714836495 41.629521388 3.7,2.716218671 41.62991978 6.1,2.716860641 41.630072917 4.9,2.718385896 41.630671888 3.3,2.719230121 41.63117103 4.6,2.719755163 41.631534218 4.9,2.719910899 41.631716189 4.8,2.72091656 41.632452539 5.3,2.72342124 41.63417435 7.8,2.724013338 41.633587197 4.6,2.724359762 41.633805462 5.7,2.724419609 41.633860867 5.5,2.724281559 41.633950469 8.2,2.723832121 41.634414324 8.9,2.724241409 41.634685394 10,2.72469596 41.635041793 11.3,2.725304905 41.635374387 11.7,2.725922484 41.635655767 11.1,2.727053706 41.636111994 10.8,2.730563041 41.637413872 7.2,2.73092296 41.637520238 6.5,2.732245373 41.638046035 5.9,2.733810274 41.638601503 5.8,2.737336457 41.639934058 5.5,2.738298951 41.640244524 4.1,2.738326946 41.640354411 5.2,2.738454686 41.640276459 3.5,2.738683261 41.64029557 3,2.738789124 41.640408809 3.9,2.739739381 41.640755401 4,2.740939837 41.641021024 2.1,2.741451301 41.64129486 3.3,2.741895206 41.641479346 4.7,2.742372137 41.641724684 6.5,2.742860634 41.641899363 5.4,2.743859673 41.642345616 5.9,2.744385973 41.642514511 4.4,2.746634334 41.643414225 4.5,2.74720137 41.643621425 3.7,2.747386694 41.643560405 3.3,2.747490965 41.643554621 3.3,2.747605545 41.643586976 3,2.747752648 41.643691498 3,2.747772262 41.643758134 3.9,2.747696992 41.644014788 4.9,2.748001339 41.64402845 4.6,2.747993125 41.644113527 4.6,2.750911536 41.644908466 5.1,2.752842056 41.645257656 5,2.753613945 41.645347091 2.2,2.757070223 41.646180504 3.3,2.758511491 41.646462387 1.2,2.760197427 41.646588954 1.2,2.762235068 41.646862372 2.1,2.763036964 41.646896151 1.5,2.766582426 41.647216172 3,2.766477484 41.647595956 3.2,2.766165594 41.648395841 2.4,2.76587734 41.64886221 2.3,2.765370151 41.649814646 1.7,2.764825579 41.651058939 1.9,2.763802735 41.652949226 3.8,2.763584806 41.653258602 3.9,2.762871506 41.653912223 3.4,2.762497338 41.65433157 3.4,2.762220819 41.65472225 4,2.761874646 41.655885407 3.7,2.761847069 41.656177348 3.6,2.761701811 41.65647499 3.8,2.761508189 41.656743211 3.8,2.760656085 41.657674943 4.8,2.760377638 41.658222952 5.5,2.760189632 41.658405342 5.6,2.760435641 41.658506763 5.4,2.760816766 41.658460747 4.9,2.761110216 41.658455801 4.8,2.761346586 41.658487988 4.9,2.761566695 41.658556552 4.9,2.762013031 41.658763082 5.1,2.762627257 41.659083271 5,2.763549518 41.659386276 3.7,2.766357539 41.66019513 5.5,2.767387759 41.660300239 5.7,2.768195691 41.660500902 4.7,2.769440906 41.660984789 4.7,2.769459346 41.661058969 4.7,2.76939556 41.661146476 5.3,2.76785681 41.662546421 5.8,2.766013797 41.663996994 6.8,2.765544243 41.664323636 8.7,2.764598932 41.665113715 9.3,2.764579402 41.665219997 9.3,2.766813179 41.666724297 8,2.766905464 41.666660846 8.2,2.766694659 41.666495052 9.2,2.766742688 41.666301598 8.4,2.767218444 41.66577798 8.7,2.76929695926825 41.6633822123893 0,2.77112085677072 41.6616858534453 0,2.77124174911238 41.6616897802538 0,2.7741694462561 41.6632644111288 0,2.77549400582562 41.6645170201606 0,2.77587770760567 41.6648272236484 0,2.77645588837014 41.6651413522396 0,2.77701304437954 41.6653298286587 0,2.77770160510814 41.6655340108234 0,2.77853733912223 41.6659894917807 0,2.77892629709106 41.6666255891045 0,2.77923904032276 41.6671870771992 0,2.77940198217457 41.6674030328547 0,2.77945980025101 41.6678545741574 0,2.77959646115898 41.6680234105267 0,2.77988029535244 41.6681804672169 0,2.78002221244918 41.6680901596669 0,2.78235596026212 41.6672970183507 0,2.78383294930589 41.6667708697105 0,2.78475278234027 41.6663664391016 0,2.78483688136056 41.6663585860549 0,2.78509443461019 41.6667041192025 0,2.78569364012972 41.6664528225518 0,2.78679218358221 41.6679488084647 0,2.78749125668834 41.6689971558296 0,2.78802738794267 41.6696175181402 0,2.78820084217201 41.6697863498861 0,2.78863184965097 41.6701122331667 0,2.78907336950747 41.6704184834207 0,2.79008255775091 41.6712272911892 0,2.79030857386793 41.6715610195883 0,2.79037164813314 41.671886893885 0,2.79051882141864 41.6719457866541 0,2.79052933379618 41.6721106861211 0,2.79035062337807 41.6721656525162 0,2.79014563201612 41.6720674982063 0,2.79021921865887 41.6719183033685 0,2.79037164813314 41.671886893885 0))",3,"1",A1,Bike,"Barcelona, ES","Blanes, ES",Yes,67,1060,4.2,40,,Ends with a small climb
